length,accuracy,f1,precision,recall,roc
118,0.8058,0.8058,0.8061,0.8058,0.8058
119,0.8109,0.8109,0.8112,0.8109,0.8109
120,0.8109,0.8109,0.8111,0.8109,0.8109
121,0.8126,0.8126,0.8128,0.8126,0.8126
122,0.8157,0.8157,0.8159,0.8157,0.8157
123,0.8092,0.8092,0.8096,0.8092,0.8092
124,0.8106,0.8105,0.8108,0.8106,0.8106
125,0.8055,0.8054,0.8057,0.8055,0.8055
126,0.8089,0.8088,0.8090,0.8089,0.8089
127,0.8096,0.8095,0.8100,0.8096,0.8096
128,0.8020,0.8020,0.8025,0.8020,0.8020
129,0.8041,0.8041,0.8042,0.8041,0.8041
130,0.8044,0.8044,0.8047,0.8044,0.8044
131,0.8089,0.8088,0.8091,0.8089,0.8089
132,0.8099,0.8099,0.8102,0.8099,0.8099
133,0.8116,0.8116,0.8118,0.8116,0.8116
134,0.8038,0.8037,0.8043,0.8038,0.8038
135,0.8061,0.8061,0.8067,0.8061,0.8061
136,0.8082,0.8082,0.8084,0.8082,0.8082
137,0.8075,0.8075,0.8077,0.8075,0.8075
138,0.8027,0.8027,0.8030,0.8027,0.8027
139,0.8078,0.8078,0.8082,0.8078,0.8078
140,0.8089,0.8088,0.8093,0.8089,0.8089
141,0.8078,0.8078,0.8080,0.8078,0.8078
142,0.8126,0.8126,0.8130,0.8126,0.8126
143,0.8061,0.8061,0.8065,0.8061,0.8061
144,0.8089,0.8088,0.8091,0.8089,0.8089
145,0.8082,0.8082,0.8084,0.8082,0.8082
146,0.8027,0.8026,0.8033,0.8027,0.8027
147,0.8020,0.8020,0.8022,0.8020,0.8020
148,0.8044,0.8044,0.8048,0.8044,0.8044
149,0.8102,0.8102,0.8105,0.8102,0.8102
150,0.8055,0.8054,0.8057,0.8055,0.8055
151,0.8078,0.8078,0.8080,0.8078,0.8078
152,0.8058,0.8058,0.8059,0.8058,0.8058
153,0.8041,0.8040,0.8046,0.8041,0.8041
154,0.8130,0.8129,0.8131,0.8130,0.8130
155,0.8085,0.8085,0.8088,0.8085,0.8085
156,0.8072,0.8071,0.8074,0.8072,0.8072
157,0.8072,0.8071,0.8073,0.8072,0.8072
158,0.8024,0.8023,0.8028,0.8024,0.8024
159,0.8014,0.8014,0.8014,0.8014,0.8014
160,0.8000,0.8000,0.8002,0.8000,0.8000
161,0.8075,0.8075,0.8077,0.8075,0.8075
162,0.8041,0.8040,0.8044,0.8041,0.8041
163,0.8027,0.8027,0.8029,0.8027,0.8027
164,0.8082,0.8081,0.8085,0.8082,0.8082
165,0.8078,0.8078,0.8079,0.8078,0.8078
166,0.8034,0.8034,0.8035,0.8034,0.8034
167,0.8048,0.8047,0.8050,0.8048,0.8048
168,0.8082,0.8082,0.8084,0.8082,0.8082
169,0.8078,0.8078,0.8080,0.8078,0.8078
170,0.8017,0.8017,0.8019,0.8017,0.8017
171,0.8055,0.8054,0.8057,0.8055,0.8055
172,0.8017,0.8017,0.8019,0.8017,0.8017
173,0.8003,0.8003,0.8004,0.8003,0.8003
174,0.8044,0.8044,0.8045,0.8044,0.8044
175,0.8038,0.8037,0.8038,0.8038,0.8038
176,0.8061,0.8061,0.8063,0.8061,0.8061
177,0.8044,0.8044,0.8046,0.8044,0.8044
