class,fea18,fea13,fea7,fea12,fea25,fea24,fea10,fea11,fea23,fea17,fea16,fea15,fea8,fea2,fea9,fea4,fea5,fea19,fea21,fea20,fea3,fea22,fea26,fea14,fea1,fea6,27
1.0,0.45965144,0.00026637,0.00047947,0.0002131,0.03218564,0.45944823,0.00026637,0.00031964,9.619e-05,0.00013463,0.00105628,0.00042619,0.00026637,0.00026637,0.00026637,0.00015982,0.00042619,0.03195997,1.19e-06,0.00488741,0.00015982,0.00105331,0.00489048,0.00053274,0.0002131,5.327e-05,4.1e-07
1.0,0.45822994,0.00022128,0.00044257,0.00027661,0.03340414,0.45821908,0.00044257,0.00016596,5.967e-05,0.00010346,0.00106754,0.00060853,0.00038725,0.00044257,0.00016596,0.00022128,0.00033193,0.03333923,7.1e-07,0.00493374,0.00011064,0.00106321,0.00493276,0.00022128,0.00033193,5.532e-05,-4.7e-07
1.0,0.45918874,0.00032603,0.00023288,0.00023288,0.03318196,0.45927842,0.00023288,0.00041918,0.00013429,0.00013075,0.00104279,0.00027945,0.00027945,0.00013973,0.00018630000000000006,0.00032603,0.00023288,0.03172536,2.6e-06,0.00483122,0.00046575,0.00104095,0.00483099,0.0005589,0.00023288,0.00018630000000000006,9.9e-07
1.0,0.46054367,0.00030477,0.00043538,8.708e-05,0.03163471,0.46047233,0.00021769,0.0003483,0.00020808,0.00018056,0.0010446,0.00013061,0.00021769,0.00039184,0.0003483,0.00065307,0.00026123,0.03061423,1.72e-06,0.00482073,0.00013061,0.00104166,0.00482122,0.00052245,0.00043538,0.0,1.46e-06
1.0,0.46156918,0.00019535,0.00034187,0.00034187,0.03064246,0.46157836,0.00014651,0.00053722,5.852e-05,5.237e-05,0.0009904,0.00048838,0.00014651,0.00043954,0.00034187,0.00034187,9.768e-05,0.02981111,1.48e-06,0.00483188,0.00024419,0.0009894,0.00483409,0.00053722,0.00014651,4.884e-05,1.12e-06
1.0,0.46037658,0.00034055,0.00022703,5.676e-05,0.03098084,0.46096511,0.00022703,0.00039731,0.00012235,8.826e-05,0.00104225,0.00022703,0.00028379,0.00022703,0.00022703,0.00045407,0.00017028,0.03101127,1.71e-06,0.00486161,0.00028379,0.00103503,0.00485938,0.00051083,0.00034055,0.00017028,1.4e-06
1.0,0.45912738,0.00015913,0.00026521,0.0003713,0.03313436,0.4585841,0.00047738,0.00047738,6.911e-05,7.759e-05,0.00105821,0.0003713,0.00026521,0.0003713,0.00015913,0.00021217,0.0003713,0.03253841,2.9e-07,0.00486809,0.00021217,0.00105641,0.00487149,0.00042434,0.00021217,5.304e-05,-1e-07
1.0,0.46074559,0.0,0.00016925,0.00028208,0.03144127,0.46135834,0.0003385,0.00039491,5.106e-05,0.0001012,0.00100891,0.00022566,0.00011283,0.00039491,0.00039491,0.00056416,0.00022566,0.03007174,2.33e-06,0.00479402,0.00016925,0.001007,0.00479145,0.00045133,0.00039491,0.00011283,9.4e-07
1.0,0.46116072,0.00025606,0.0003841,0.00019205,0.03121316,0.46077576,0.00025606,0.00032008,3.793e-05,6.368e-05,0.00098143,0.00057614,6.402e-05,0.00044811,0.00051213,0.00057614,6.402e-05,0.03060722,5.7e-07,0.00478353,0.00019205,0.0009802,0.00478654,0.00044811,0.00012803,0.0,1.2e-07
1.0,0.45746427,0.000299,0.00039867,0.00034884,0.03475008,0.45689425,0.00054817,0.0004485,0.00012737,0.00012216,0.00111851,0.00024917,0.00019934,0.00034884,9.967e-05,0.000299,0.0004485,0.03390332,1.83e-06,0.00493399,9.967e-05,0.00111457,0.0049339,0.00024917,0.00039867,0.0001495,1.21e-06
1.0,0.46003918,0.00024437,0.00043986,0.00014662,0.03155266,0.46008321,0.00024437,0.00029324,8.083e-05,8.965e-05,0.00103904,0.00048874,0.00039099,0.00048874,0.00029324,0.00029324,0.00024437,0.03166381,5.2e-07,0.00488856,0.00014662,0.00103238,0.00488676,0.00048874,0.00024437,0.0,3.9e-07
1.0,0.45705785,0.00031539,0.00031539,0.00015769999999999998,0.03458995,0.45711397,0.00057822,0.00031539,0.00015549,0.0001189,0.00106848,0.00026283,0.00031539,0.00026283,0.00021026,0.00026283,0.00026283,0.03459279,1.52e-06,0.00483074,0.00036796,0.00106455,0.00483193,0.00052565,0.00010513,5.257e-05,6.4e-07
