class,fea47,fea15,fea62,fea59,fea23,fea18,fea5,fea31,fea19,fea46,fea58,fea25,fea51,fea17,fea33,fea6,fea52,fea57,fea45,fea54,fea20,fea50,fea61,fea14,63,fea35,fea29,fea55,fea28,fea13,fea34,fea53,fea43,fea36,fea21,fea56,fea37,fea4,fea3,fea16,fea39,fea7,fea30,fea1,fea49,fea8,fea22,fea9,fea12,fea41,fea60,fea42,fea48,fea27,fea32,fea38,fea26,fea40,fea44,fea2,fea11,fea10,fea24
1.0,16.0,21.0,15.0,23.0,8.0,7.0,11.0,16.0,19.0,12.0,15.0,4.0,24.0,9.0,9.0,6.0,15.0,14.0,14.0,9.0,11.0,16.0,18.0,21.0,31.0,16.0,9.0,23.0,17.0,17.0,8.0,11.0,13.0,7.0,8.0,14.0,7.0,13.0,20.0,10.0,14.0,12.0,14.0,7.0,18.0,14.0,6.0,10.0,20.0,7.0,21.0,7.0,20.0,11.0,7.0,6.0,5.0,5.0,19.0,10.0,14.0,4.0,7.0
1.0,21.0,24.0,29.0,27.0,10.0,15.0,14.0,22.0,15.0,18.0,21.0,6.0,27.0,18.0,16.0,13.0,19.0,17.0,18.0,15.0,16.0,18.0,19.0,18.0,29.0,18.0,10.0,18.0,14.0,15.0,16.0,11.0,20.0,15.0,9.0,21.0,10.0,18.0,19.0,16.0,18.0,18.0,17.0,13.0,16.0,19.0,8.0,15.0,22.0,13.0,20.0,11.0,15.0,14.0,16.0,8.0,9.0,12.0,20.0,14.0,16.0,14.0,15.0
1.0,20.0,19.0,25.0,26.0,11.0,15.0,9.0,17.0,11.0,20.0,19.0,7.0,18.0,9.0,4.0,6.0,13.0,19.0,15.0,10.0,9.0,10.0,17.0,20.0,22.0,16.0,12.0,19.0,14.0,10.0,11.0,11.0,17.0,9.0,5.0,15.0,9.0,13.0,16.0,13.0,19.0,11.0,18.0,10.0,16.0,10.0,10.0,12.0,12.0,10.0,13.0,11.0,12.0,12.0,12.0,11.0,11.0,10.0,17.0,12.0,17.0,8.0,7.0
1.0,25.0,25.0,26.0,25.0,12.0,9.0,6.0,21.0,13.0,16.0,16.0,4.0,24.0,5.0,8.0,9.0,16.0,13.0,12.0,11.0,6.0,12.0,18.0,14.0,31.0,16.0,14.0,19.0,11.0,15.0,12.0,13.0,15.0,6.0,6.0,15.0,6.0,10.0,14.0,10.0,16.0,13.0,14.0,11.0,10.0,12.0,8.0,7.0,14.0,9.0,26.0,12.0,14.0,12.0,13.0,6.0,9.0,14.0,13.0,12.0,14.0,13.0,9.0
1.0,18.0,16.0,18.0,20.0,15.0,14.0,8.0,19.0,11.0,10.0,14.0,9.0,20.0,7.0,7.0,6.0,14.0,14.0,13.0,11.0,12.0,15.0,18.0,18.0,13.0,9.0,14.0,15.0,13.0,9.0,17.0,14.0,12.0,9.0,8.0,14.0,12.0,12.0,19.0,15.0,17.0,15.0,16.0,11.0,16.0,15.0,7.0,17.0,16.0,10.0,17.0,9.0,14.0,15.0,14.0,12.0,5.0,11.0,19.0,13.0,13.0,14.0,7.0
1.0,43.0,69.0,40.0,45.0,22.0,25.0,24.0,48.0,49.0,21.0,27.0,4.0,64.0,30.0,19.0,18.0,38.0,24.0,19.0,28.0,38.0,41.0,54.0,48.0,62.0,45.0,21.0,47.0,43.0,45.0,14.0,27.0,14.0,27.0,19.0,32.0,17.0,54.0,68.0,53.0,17.0,44.0,19.0,52.0,38.0,47.0,12.0,20.0,64.0,17.0,66.0,18.0,67.0,20.0,47.0,4.0,11.0,22.0,38.0,46.0,43.0,16.0,28.0
1.0,20.0,14.0,19.0,20.0,7.0,7.0,8.0,12.0,15.0,19.0,19.0,8.0,21.0,8.0,14.0,13.0,9.0,13.0,13.0,14.0,12.0,17.0,12.0,16.0,22.0,15.0,11.0,17.0,12.0,19.0,15.0,15.0,20.0,10.0,6.0,15.0,7.0,12.0,15.0,10.0,12.0,13.0,13.0,8.0,15.0,13.0,10.0,9.0,18.0,10.0,15.0,11.0,11.0,14.0,11.0,11.0,15.0,17.0,19.0,12.0,17.0,13.0,10.0
1.0,16.0,15.0,17.0,16.0,17.0,11.0,15.0,17.0,12.0,17.0,19.0,15.0,15.0,12.0,9.0,6.0,15.0,15.0,13.0,12.0,12.0,11.0,17.0,13.0,20.0,14.0,17.0,18.0,14.0,11.0,12.0,13.0,17.0,7.0,17.0,18.0,14.0,11.0,9.0,10.0,15.0,15.0,17.0,15.0,12.0,12.0,12.0,13.0,11.0,10.0,15.0,14.0,15.0,13.0,13.0,13.0,7.0,10.0,12.0,14.0,13.0,11.0,9.0
1.0,15.0,17.0,18.0,13.0,13.0,14.0,14.0,20.0,13.0,12.0,17.0,8.0,15.0,12.0,13.0,12.0,12.0,10.0,11.0,12.0,16.0,12.0,16.0,11.0,18.0,10.0,14.0,18.0,13.0,10.0,16.0,9.0,13.0,9.0,12.0,12.0,15.0,9.0,10.0,8.0,12.0,16.0,12.0,12.0,14.0,15.0,9.0,15.0,10.0,12.0,18.0,18.0,13.0,11.0,15.0,9.0,9.0,11.0,12.0,15.0,13.0,13.0,13.0
1.0,17.0,17.0,18.0,21.0,9.0,14.0,14.0,16.0,20.0,24.0,21.0,10.0,23.0,13.0,13.0,10.0,14.0,18.0,16.0,15.0,16.0,12.0,17.0,21.0,22.0,14.0,15.0,22.0,14.0,17.0,16.0,14.0,18.0,14.0,13.0,17.0,11.0,14.0,17.0,11.0,13.0,17.0,15.0,15.0,14.0,14.0,13.0,11.0,19.0,13.0,15.0,11.0,15.0,15.0,17.0,15.0,14.0,15.0,15.0,12.0,17.0,11.0,10.0
1.0,11.0,8.0,14.0,17.0,16.0,22.0,19.0,17.0,20.0,19.0,18.0,15.0,14.0,24.0,22.0,16.0,20.0,20.0,18.0,12.0,22.0,16.0,16.0,17.0,14.0,11.0,19.0,20.0,12.0,15.0,15.0,17.0,16.0,24.0,17.0,19.0,21.0,20.0,9.0,19.0,17.0,21.0,23.0,16.0,14.0,19.0,18.0,20.0,14.0,18.0,9.0,13.0,9.0,16.0,13.0,11.0,17.0,15.0,17.0,16.0,16.0,14.0,8.0
1.0,18.0,21.0,24.0,24.0,11.0,18.0,9.0,18.0,15.0,19.0,18.0,11.0,20.0,9.0,10.0,5.0,13.0,19.0,17.0,15.0,12.0,18.0,14.0,19.0,27.0,15.0,14.0,16.0,15.0,11.0,15.0,11.0,19.0,12.0,5.0,16.0,11.0,15.0,14.0,11.0,18.0,15.0,16.0,12.0,13.0,15.0,9.0,14.0,13.0,10.0,16.0,11.0,16.0,15.0,12.0,13.0,10.0,14.0,24.0,13.0,20.0,15.0,7.0
1.0,16.0,11.0,14.0,13.0,8.0,16.0,15.0,10.0,11.0,16.0,16.0,11.0,9.0,16.0,14.0,14.0,16.0,13.0,10.0,10.0,15.0,10.0,12.0,17.0,11.0,17.0,14.0,13.0,10.0,15.0,11.0,11.0,14.0,14.0,7.0,16.0,10.0,11.0,16.0,13.0,11.0,14.0,11.0,13.0,11.0,12.0,9.0,12.0,11.0,11.0,11.0,10.0,15.0,12.0,11.0,11.0,9.0,13.0,12.0,14.0,15.0,13.0,11.0
1.0,21.0,15.0,17.0,19.0,10.0,12.0,13.0,14.0,12.0,18.0,20.0,7.0,15.0,11.0,11.0,9.0,9.0,14.0,15.0,10.0,14.0,14.0,13.0,16.0,14.0,13.0,11.0,14.0,13.0,9.0,18.0,15.0,17.0,11.0,11.0,13.0,9.0,11.0,12.0,9.0,17.0,11.0,14.0,8.0,14.0,13.0,13.0,14.0,12.0,13.0,20.0,20.0,15.0,14.0,10.0,11.0,12.0,18.0,14.0,13.0,18.0,13.0,11.0
1.0,13.0,10.0,13.0,14.0,10.0,17.0,13.0,10.0,14.0,14.0,15.0,11.0,11.0,15.0,12.0,14.0,14.0,14.0,12.0,7.0,14.0,15.0,9.0,16.0,9.0,11.0,7.0,6.0,12.0,6.0,12.0,8.0,12.0,16.0,11.0,12.0,9.0,18.0,11.0,17.0,14.0,11.0,13.0,15.0,13.0,18.0,10.0,13.0,15.0,15.0,11.0,14.0,12.0,12.0,14.0,14.0,14.0,12.0,13.0,17.0,15.0,14.0,8.0
1.0,15.0,13.0,15.0,13.0,11.0,12.0,8.0,14.0,14.0,12.0,12.0,8.0,11.0,10.0,6.0,6.0,11.0,18.0,12.0,9.0,13.0,15.0,14.0,12.0,21.0,9.0,10.0,14.0,10.0,10.0,10.0,12.0,14.0,15.0,2.0,12.0,10.0,10.0,9.0,10.0,12.0,10.0,16.0,10.0,8.0,11.0,6.0,12.0,9.0,11.0,14.0,10.0,10.0,12.0,10.0,12.0,9.0,9.0,12.0,10.0,11.0,13.0,4.0
1.0,18.0,8.0,14.0,17.0,15.0,13.0,15.0,16.0,12.0,16.0,16.0,13.0,16.0,18.0,14.0,13.0,13.0,14.0,15.0,13.0,14.0,14.0,16.0,13.0,15.0,14.0,15.0,17.0,15.0,13.0,15.0,17.0,22.0,14.0,19.0,12.0,14.0,14.0,4.0,12.0,16.0,17.0,16.0,12.0,14.0,13.0,20.0,12.0,11.0,15.0,11.0,22.0,11.0,14.0,9.0,11.0,18.0,15.0,18.0,16.0,15.0,18.0,12.0
1.0,22.0,13.0,20.0,20.0,14.0,16.0,10.0,19.0,15.0,16.0,17.0,10.0,12.0,10.0,14.0,10.0,17.0,20.0,13.0,11.0,13.0,17.0,15.0,18.0,22.0,15.0,16.0,14.0,12.0,14.0,20.0,16.0,17.0,11.0,12.0,16.0,12.0,12.0,13.0,12.0,18.0,20.0,19.0,12.0,13.0,17.0,11.0,18.0,11.0,9.0,19.0,16.0,13.0,12.0,12.0,13.0,11.0,17.0,13.0,13.0,16.0,16.0,12.0
1.0,11.0,14.0,15.0,16.0,12.0,11.0,8.0,16.0,15.0,21.0,21.0,6.0,11.0,7.0,12.0,11.0,10.0,17.0,16.0,11.0,12.0,12.0,12.0,21.0,16.0,16.0,13.0,20.0,9.0,12.0,18.0,12.0,21.0,13.0,9.0,17.0,15.0,11.0,11.0,9.0,10.0,10.0,14.0,10.0,10.0,13.0,10.0,12.0,10.0,17.0,15.0,19.0,15.0,14.0,11.0,14.0,16.0,19.0,15.0,14.0,11.0,20.0,9.0
1.0,16.0,12.0,15.0,18.0,12.0,14.0,12.0,17.0,10.0,21.0,19.0,9.0,15.0,11.0,16.0,11.0,12.0,14.0,16.0,8.0,10.0,15.0,13.0,15.0,19.0,11.0,13.0,15.0,15.0,6.0,10.0,12.0,19.0,13.0,15.0,15.0,11.0,11.0,7.0,10.0,18.0,15.0,15.0,10.0,12.0,13.0,13.0,13.0,10.0,13.0,16.0,13.0,8.0,13.0,10.0,8.0,12.0,12.0,13.0,10.0,15.0,9.0,7.0
1.0,17.0,16.0,20.0,17.0,8.0,12.0,7.0,13.0,13.0,13.0,12.0,5.0,16.0,8.0,9.0,8.0,14.0,12.0,10.0,10.0,10.0,10.0,12.0,13.0,16.0,14.0,10.0,15.0,10.0,12.0,10.0,8.0,13.0,10.0,6.0,17.0,8.0,12.0,11.0,12.0,12.0,10.0,12.0,9.0,10.0,10.0,6.0,10.0,13.0,9.0,14.0,14.0,14.0,11.0,9.0,7.0,9.0,10.0,16.0,14.0,15.0,11.0,6.0
1.0,10.0,12.0,14.0,16.0,18.0,13.0,15.0,15.0,18.0,16.0,16.0,14.0,9.0,15.0,13.0,14.0,13.0,17.0,14.0,11.0,16.0,16.0,12.0,16.0,8.0,12.0,11.0,12.0,12.0,11.0,13.0,15.0,13.0,17.0,17.0,12.0,16.0,14.0,11.0,14.0,15.0,9.0,15.0,11.0,12.0,12.0,13.0,12.0,10.0,18.0,8.0,19.0,8.0,15.0,10.0,14.0,13.0,14.0,15.0,10.0,12.0,16.0,10.0
1.0,18.0,11.0,15.0,17.0,14.0,7.0,10.0,14.0,11.0,12.0,12.0,8.0,16.0,7.0,7.0,7.0,12.0,12.0,13.0,15.0,10.0,10.0,15.0,12.0,17.0,11.0,13.0,17.0,10.0,15.0,9.0,13.0,13.0,7.0,9.0,13.0,8.0,7.0,10.0,8.0,11.0,10.0,14.0,9.0,11.0,7.0,6.0,8.0,10.0,7.0,14.0,8.0,10.0,12.0,8.0,9.0,9.0,8.0,10.0,7.0,11.0,7.0,7.0
1.0,17.0,20.0,17.0,22.0,8.0,13.0,10.0,14.0,13.0,17.0,17.0,9.0,15.0,11.0,10.0,5.0,13.0,13.0,12.0,11.0,11.0,17.0,14.0,17.0,20.0,13.0,6.0,12.0,9.0,12.0,14.0,8.0,16.0,14.0,6.0,15.0,10.0,15.0,21.0,16.0,11.0,14.0,15.0,11.0,11.0,19.0,9.0,13.0,13.0,12.0,19.0,6.0,16.0,12.0,14.0,11.0,7.0,9.0,18.0,15.0,18.0,13.0,9.0
1.0,19.0,15.0,19.0,21.0,9.0,13.0,7.0,13.0,11.0,18.0,20.0,11.0,10.0,10.0,9.0,11.0,10.0,13.0,16.0,11.0,12.0,14.0,13.0,17.0,14.0,13.0,13.0,16.0,10.0,7.0,13.0,11.0,17.0,12.0,7.0,16.0,10.0,10.0,15.0,10.0,15.0,11.0,16.0,10.0,14.0,9.0,6.0,10.0,10.0,15.0,16.0,16.0,12.0,12.0,12.0,12.0,9.0,13.0,14.0,8.0,13.0,15.0,8.0
1.0,20.0,17.0,21.0,23.0,9.0,11.0,7.0,16.0,11.0,22.0,23.0,9.0,15.0,6.0,8.0,8.0,9.0,17.0,14.0,14.0,9.0,15.0,18.0,15.0,28.0,14.0,13.0,17.0,9.0,7.0,5.0,12.0,19.0,9.0,7.0,13.0,8.0,5.0,7.0,5.0,17.0,10.0,19.0,5.0,11.0,6.0,10.0,7.0,9.0,11.0,15.0,14.0,5.0,14.0,8.0,9.0,12.0,11.0,13.0,6.0,13.0,10.0,6.0
1.0,14.0,17.0,17.0,18.0,10.0,13.0,12.0,13.0,16.0,12.0,11.0,11.0,18.0,14.0,12.0,5.0,22.0,16.0,13.0,12.0,11.0,18.0,12.0,15.0,18.0,14.0,14.0,15.0,17.0,16.0,11.0,7.0,15.0,13.0,5.0,20.0,10.0,14.0,18.0,16.0,15.0,21.0,17.0,16.0,11.0,15.0,8.0,12.0,17.0,10.0,16.0,15.0,20.0,6.0,15.0,11.0,14.0,12.0,17.0,13.0,17.0,11.0,6.0
1.0,21.0,13.0,19.0,20.0,14.0,17.0,9.0,19.0,9.0,16.0,15.0,12.0,15.0,9.0,13.0,8.0,14.0,16.0,14.0,12.0,7.0,10.0,17.0,9.0,23.0,13.0,16.0,18.0,10.0,15.0,11.0,15.0,16.0,12.0,8.0,12.0,9.0,8.0,7.0,6.0,15.0,14.0,16.0,8.0,10.0,12.0,11.0,10.0,7.0,13.0,17.0,14.0,9.0,11.0,8.0,14.0,15.0,13.0,10.0,8.0,14.0,11.0,8.0
1.0,17.0,11.0,15.0,18.0,13.0,14.0,13.0,10.0,13.0,16.0,17.0,8.0,17.0,8.0,9.0,11.0,10.0,12.0,13.0,15.0,13.0,13.0,12.0,15.0,22.0,11.0,13.0,17.0,16.0,11.0,9.0,8.0,14.0,11.0,13.0,12.0,9.0,9.0,12.0,9.0,12.0,10.0,14.0,10.0,15.0,10.0,8.0,12.0,16.0,8.0,11.0,7.0,14.0,15.0,10.0,8.0,11.0,10.0,16.0,11.0,16.0,8.0,8.0
1.0,12.0,16.0,17.0,15.0,12.0,15.0,14.0,12.0,10.0,14.0,13.0,7.0,15.0,14.0,13.0,13.0,10.0,16.0,11.0,7.0,10.0,16.0,9.0,13.0,10.0,10.0,12.0,14.0,14.0,8.0,18.0,9.0,13.0,14.0,10.0,14.0,9.0,17.0,17.0,16.0,12.0,14.0,15.0,15.0,16.0,17.0,11.0,13.0,15.0,10.0,14.0,10.0,15.0,11.0,16.0,10.0,11.0,14.0,18.0,16.0,17.0,17.0,12.0
1.0,12.0,15.0,16.0,20.0,9.0,20.0,18.0,11.0,26.0,16.0,14.0,15.0,29.0,26.0,18.0,22.0,21.0,19.0,11.0,1.0,20.0,9.0,10.0,22.0,17.0,15.0,11.0,15.0,10.0,13.0,10.0,8.0,12.0,21.0,11.0,15.0,3.0,27.0,14.0,21.0,4.0,18.0,14.0,18.0,24.0,24.0,1.0,4.0,30.0,3.0,11.0,9.0,13.0,19.0,6.0,13.0,1.0,6.0,23.0,8.0,12.0,6.0,3.0
1.0,14.0,13.0,15.0,16.0,5.0,11.0,5.0,13.0,12.0,12.0,12.0,13.0,13.0,10.0,10.0,6.0,10.0,12.0,12.0,11.0,10.0,12.0,14.0,16.0,15.0,9.0,8.0,9.0,10.0,8.0,12.0,11.0,13.0,9.0,7.0,16.0,6.0,12.0,13.0,9.0,13.0,13.0,13.0,7.0,13.0,9.0,7.0,9.0,10.0,8.0,12.0,13.0,10.0,11.0,9.0,13.0,7.0,8.0,16.0,7.0,13.0,10.0,7.0
1.0,13.0,13.0,15.0,14.0,9.0,13.0,10.0,11.0,12.0,15.0,16.0,7.0,14.0,11.0,13.0,9.0,15.0,14.0,12.0,11.0,8.0,12.0,9.0,13.0,14.0,15.0,11.0,15.0,10.0,15.0,12.0,6.0,16.0,10.0,1.0,17.0,11.0,10.0,12.0,7.0,14.0,10.0,15.0,9.0,6.0,15.0,10.0,9.0,11.0,12.0,10.0,7.0,10.0,10.0,13.0,7.0,11.0,11.0,11.0,9.0,12.0,11.0,10.0
1.0,18.0,15.0,14.0,17.0,15.0,12.0,10.0,14.0,16.0,11.0,15.0,10.0,19.0,13.0,10.0,13.0,21.0,12.0,16.0,15.0,12.0,14.0,16.0,16.0,21.0,17.0,16.0,16.0,13.0,16.0,12.0,16.0,13.0,11.0,12.0,16.0,9.0,12.0,10.0,14.0,16.0,14.0,18.0,14.0,11.0,15.0,9.0,12.0,15.0,9.0,18.0,15.0,15.0,14.0,11.0,7.0,11.0,14.0,13.0,15.0,15.0,11.0,9.0
1.0,9.0,16.0,13.0,10.0,13.0,14.0,15.0,14.0,16.0,13.0,17.0,9.0,14.0,11.0,12.0,8.0,15.0,16.0,12.0,11.0,13.0,13.0,15.0,16.0,12.0,12.0,14.0,13.0,10.0,13.0,12.0,15.0,14.0,15.0,10.0,15.0,10.0,13.0,14.0,14.0,18.0,9.0,16.0,10.0,12.0,12.0,14.0,15.0,12.0,12.0,14.0,10.0,8.0,10.0,15.0,9.0,12.0,14.0,14.0,12.0,13.0,11.0,11.0
1.0,21.0,17.0,22.0,20.0,14.0,14.0,14.0,17.0,13.0,21.0,21.0,7.0,16.0,11.0,10.0,11.0,13.0,17.0,15.0,14.0,11.0,17.0,15.0,13.0,22.0,18.0,13.0,18.0,15.0,12.0,13.0,11.0,19.0,14.0,12.0,17.0,9.0,10.0,9.0,9.0,17.0,15.0,15.0,12.0,17.0,14.0,8.0,14.0,13.0,11.0,18.0,18.0,14.0,17.0,14.0,9.0,10.0,16.0,17.0,16.0,19.0,14.0,8.0
1.0,17.0,16.0,20.0,17.0,15.0,14.0,11.0,16.0,10.0,10.0,15.0,7.0,17.0,8.0,6.0,6.0,15.0,14.0,12.0,15.0,9.0,12.0,16.0,15.0,21.0,16.0,15.0,16.0,10.0,11.0,13.0,12.0,12.0,11.0,9.0,13.0,9.0,9.0,12.0,12.0,13.0,11.0,14.0,12.0,11.0,10.0,9.0,12.0,12.0,9.0,14.0,12.0,12.0,12.0,10.0,10.0,9.0,11.0,15.0,9.0,13.0,9.0,11.0
1.0,20.0,20.0,18.0,20.0,11.0,14.0,8.0,16.0,10.0,15.0,14.0,5.0,17.0,8.0,6.0,8.0,12.0,8.0,11.0,12.0,9.0,16.0,17.0,13.0,22.0,12.0,11.0,16.0,14.0,10.0,14.0,8.0,15.0,9.0,1.0,13.0,5.0,10.0,17.0,12.0,15.0,11.0,13.0,12.0,11.0,12.0,2.0,15.0,13.0,9.0,20.0,8.0,17.0,11.0,14.0,8.0,6.0,12.0,14.0,15.0,14.0,17.0,8.0
1.0,13.0,12.0,16.0,12.0,9.0,12.0,11.0,12.0,14.0,16.0,19.0,7.0,8.0,9.0,14.0,8.0,11.0,14.0,11.0,12.0,12.0,9.0,13.0,13.0,11.0,10.0,9.0,10.0,8.0,11.0,13.0,12.0,19.0,14.0,14.0,13.0,11.0,10.0,13.0,11.0,13.0,12.0,12.0,8.0,10.0,10.0,12.0,9.0,9.0,19.0,11.0,18.0,7.0,6.0,11.0,11.0,18.0,14.0,5.0,8.0,8.0,15.0,11.0
1.0,20.0,14.0,20.0,16.0,11.0,15.0,10.0,17.0,14.0,18.0,18.0,8.0,16.0,10.0,13.0,10.0,17.0,17.0,12.0,10.0,12.0,12.0,16.0,18.0,20.0,15.0,9.0,13.0,10.0,12.0,11.0,10.0,20.0,12.0,14.0,19.0,11.0,13.0,16.0,15.0,14.0,15.0,14.0,12.0,12.0,11.0,11.0,11.0,16.0,11.0,14.0,16.0,12.0,13.0,11.0,11.0,12.0,11.0,12.0,10.0,14.0,12.0,9.0
1.0,20.0,15.0,25.0,21.0,13.0,17.0,13.0,23.0,12.0,23.0,21.0,7.0,21.0,13.0,13.0,9.0,15.0,24.0,14.0,12.0,13.0,15.0,18.0,18.0,24.0,17.0,12.0,20.0,15.0,15.0,13.0,12.0,22.0,16.0,8.0,17.0,15.0,12.0,11.0,14.0,19.0,15.0,17.0,11.0,13.0,11.0,14.0,12.0,12.0,17.0,15.0,14.0,10.0,13.0,12.0,11.0,18.0,16.0,17.0,11.0,17.0,15.0,8.0
