[2020-03-31 09:48:40,874]: ---mrmd 2.0 start----
[2020-03-31 09:49:01,547]: ANOVA start...
[2020-03-31 09:49:01,760]: ANOVA end.
[2020-03-31 09:49:01,760]: mic start...
[2020-03-31 09:49:03,807]: mic end.
[2020-03-31 09:49:03,808]: mrmd start...
[2020-03-31 09:50:05,577]: mrmd end.
[2020-03-31 09:50:05,578]: mRMR start...
[2020-03-31 09:50:23,081]: mRMR end.
[2020-03-31 09:50:23,081]: lasso start...
[2020-03-31 09:50:23,712]: lasso end.
[2020-03-31 09:50:23,712]: chi2 start...
[2020-03-31 09:50:24,246]: chi2 end.
[2020-03-31 09:50:24,248]: ref start...
[2020-03-31 09:50:27,531]: ref end.
[2020-03-31 09:50:27,567]: rank start ...
[2020-03-31 09:50:27,980]: The final  rank is
[2020-03-31 09:50:27,982]: BINARY.F770 : 0.0008
[2020-03-31 09:50:27,982]: BINARY.F12 : 0.0008
[2020-03-31 09:50:27,982]: BINARY.F1483 : 0.0007
[2020-03-31 09:50:27,982]: BINARY.F695 : 0.0007
[2020-03-31 09:50:27,982]: BINARY.F1235 : 0.0007
[2020-03-31 09:50:27,982]: BINARY.F636 : 0.0007
[2020-03-31 09:50:27,982]: BINARY.F1134 : 0.0007
[2020-03-31 09:50:27,982]: BINARY.F482 : 0.0007
[2020-03-31 09:50:27,982]: BINARY.F483 : 0.0007
[2020-03-31 09:50:27,982]: BINARY.F179 : 0.0007
[2020-03-31 09:50:27,982]: BINARY.F461 : 0.0007
[2020-03-31 09:50:27,982]: BINARY.F1336 : 0.0007
[2020-03-31 09:50:27,982]: BINARY.F968 : 0.0007
[2020-03-31 09:50:27,982]: BINARY.F1477 : 0.0007
[2020-03-31 09:50:27,983]: BINARY.F1862 : 0.0007
[2020-03-31 09:50:27,983]: BINARY.F1486 : 0.0007
[2020-03-31 09:50:27,983]: BINARY.F1418 : 0.0007
[2020-03-31 09:50:27,983]: BINARY.F301 : 0.0007
[2020-03-31 09:50:27,983]: BINARY.F1243 : 0.0007
[2020-03-31 09:50:27,983]: BINARY.F390 : 0.0007
[2020-03-31 09:50:27,983]: BINARY.F174 : 0.0007
[2020-03-31 09:50:27,983]: BINARY.F208 : 0.0007
[2020-03-31 09:50:27,983]: BINARY.F237 : 0.0007
[2020-03-31 09:50:27,983]: BINARY.F1517 : 0.0007
[2020-03-31 09:50:27,983]: BINARY.F1846 : 0.0007
[2020-03-31 09:50:27,983]: BINARY.F990 : 0.0007
[2020-03-31 09:50:27,983]: BINARY.F422 : 0.0007
[2020-03-31 09:50:27,983]: BINARY.F1564 : 0.0007
[2020-03-31 09:50:27,983]: BINARY.F1512 : 0.0007
[2020-03-31 09:50:27,983]: BINARY.F1750 : 0.0007
[2020-03-31 09:50:27,983]: BINARY.F99 : 0.0007
[2020-03-31 09:50:27,983]: BINARY.F1070 : 0.0007
[2020-03-31 09:50:27,984]: BINARY.F361 : 0.0007
[2020-03-31 09:50:27,984]: BINARY.F1770 : 0.0007
[2020-03-31 09:50:27,984]: BINARY.F1025 : 0.0007
[2020-03-31 09:50:27,984]: BINARY.F513 : 0.0007
[2020-03-31 09:50:27,984]: BINARY.F590 : 0.0007
[2020-03-31 09:50:27,984]: BINARY.F1136 : 0.0007
[2020-03-31 09:50:27,984]: BINARY.F1271 : 0.0007
[2020-03-31 09:50:27,984]: BINARY.F435 : 0.0007
[2020-03-31 09:50:27,984]: BINARY.F559 : 0.0007
[2020-03-31 09:50:27,984]: BINARY.F1664 : 0.0007
