[2020-04-03 15:00:43,552]: ---mrmd 2.0 start----
[2020-04-03 15:01:02,384]: ANOVA start...
[2020-04-03 15:01:02,407]: ANOVA end.
[2020-04-03 15:01:02,408]: mic start...
[2020-04-03 15:01:02,820]: mic end.
[2020-04-03 15:01:02,821]: mrmd start...
[2020-04-03 15:01:03,934]: mrmd end.
[2020-04-03 15:01:03,934]: mRMR start...
[2020-04-03 15:01:30,799]: mRMR end.
[2020-04-03 15:01:30,800]: lasso start...
[2020-04-03 15:01:30,947]: lasso end.
[2020-04-03 15:01:30,948]: chi2 start...
[2020-04-03 15:01:31,061]: chi2 end.
[2020-04-03 15:01:31,061]: ref start...
[2020-04-03 15:01:32,266]: ref end.
[2020-04-03 15:01:32,273]: rank start ...
[2020-04-03 15:01:32,351]: The final  rank is
[2020-04-03 15:01:32,351]: g3.g3.g2.gap0 : 0.0037
[2020-04-03 15:01:32,351]: g1.g3.g6.gap0 : 0.0036
[2020-04-03 15:01:32,351]: g5.g1.g5.gap0 : 0.0035
[2020-04-03 15:01:32,351]: g2.g1.g2.gap0 : 0.0035
[2020-04-03 15:01:32,352]: g7.g3.g4.gap0 : 0.0035
[2020-04-03 15:01:32,352]: g6.g2.g6.gap0 : 0.0035
[2020-04-03 15:01:32,352]: g1.g2.g3.gap0 : 0.0034
[2020-04-03 15:01:32,352]: g5.g3.g1.gap0 : 0.0034
[2020-04-03 15:01:32,352]: g1.g6.g2.gap0 : 0.0034
[2020-04-03 15:01:32,352]: g5.g2.g1.gap0 : 0.0034
[2020-04-03 15:01:32,352]: g5.g1.g4.gap0 : 0.0034
[2020-04-03 15:01:32,352]: g1.g1.g2.gap0 : 0.0034
[2020-04-03 15:01:32,352]: g2.g3.g1.gap0 : 0.0034
[2020-04-03 15:01:32,352]: g4.g3.g1.gap0 : 0.0034
[2020-04-03 15:01:32,352]: g4.g2.g6.gap0 : 0.0034
[2020-04-03 15:01:32,352]: g7.g2.g1.gap0 : 0.0034
[2020-04-03 15:01:32,352]: g2.g5.g5.gap0 : 0.0034
[2020-04-03 15:01:32,352]: g2.g4.g2.gap0 : 0.0034
[2020-04-03 15:01:32,352]: g5.g3.g3.gap0 : 0.0034
[2020-04-03 15:01:32,352]: g6.g2.g2.gap0 : 0.0034
[2020-04-03 15:01:32,352]: g7.g2.g4.gap0 : 0.0034
[2020-04-03 15:01:32,353]: g3.g6.g4.gap0 : 0.0034
[2020-04-03 15:01:32,353]: g1.g1.g5.gap0 : 0.0033
[2020-04-03 15:01:32,353]: g6.g5.g2.gap0 : 0.0033
[2020-04-03 15:01:32,353]: g5.g2.g6.gap0 : 0.0033
[2020-04-03 15:01:32,353]: g4.g2.g3.gap0 : 0.0033
[2020-04-03 15:01:32,353]: g1.g4.g1.gap0 : 0.0033
[2020-04-03 15:01:32,353]: g2.g3.g3.gap0 : 0.0033
[2020-04-03 15:01:32,353]: g1.g1.g1.gap0 : 0.0033
[2020-04-03 15:01:32,353]: g3.g1.g5.gap0 : 0.0033
[2020-04-03 15:01:32,353]: g2.g2.g2.gap0 : 0.0033
[2020-04-03 15:01:32,353]: g3.g1.g6.gap0 : 0.0033
[2020-04-03 15:01:32,353]: g4.g1.g6.gap0 : 0.0033
[2020-04-03 15:01:32,353]: g3.g1.g7.gap0 : 0.0033
[2020-04-03 15:01:32,353]: g2.g4.g6.gap0 : 0.0033
[2020-04-03 15:01:32,353]: g6.g1.g3.gap0 : 0.0033
[2020-04-03 15:01:32,353]: g3.g3.g4.gap0 : 0.0033
[2020-04-03 15:01:32,353]: g4.g7.g2.gap0 : 0.0033
[2020-04-03 15:01:32,354]: g3.g3.g6.gap0 : 0.0033
[2020-04-03 15:01:32,354]: g2.g5.g3.gap0 : 0.0033
[2020-04-03 15:01:32,354]: g3.g6.g3.gap0 : 0.0033
[2020-04-03 15:01:32,354]: g3.g2.g7.gap0 : 0.0033
[2020-04-03 15:01:32,354]: g5.g2.g2.gap0 : 0.0033
[2020-04-03 15:01:32,354]: g5.g1.g3.gap0 : 0.0033
[2020-04-03 15:01:32,354]: g3.g2.g5.gap0 : 0.0033
[2020-04-03 15:01:32,354]: g6.g5.g6.gap0 : 0.0033
[2020-04-03 15:01:32,354]: g3.g3.g1.gap0 : 0.0033
[2020-04-03 15:01:32,354]: g6.g4.g1.gap0 : 0.0033
[2020-04-03 15:01:32,354]: g4.g6.g4.gap0 : 0.0033
[2020-04-03 15:01:32,354]: g3.g1.g1.gap0 : 0.0033
[2020-04-03 15:01:32,354]: g1.g4.g5.gap0 : 0.0033
[2020-04-03 15:01:32,354]: g6.g2.g4.gap0 : 0.0033
[2020-04-03 15:01:32,354]: g5.g4.g4.gap0 : 0.0033
[2020-04-03 15:01:32,354]: g1.g5.g1.gap0 : 0.0033
[2020-04-03 15:01:32,354]: g4.g4.g2.gap0 : 0.0033
[2020-04-03 15:01:32,355]: g3.g2.g3.gap0 : 0.0033
[2020-04-03 15:01:32,355]: g6.g2.g1.gap0 : 0.0033
[2020-04-03 15:01:32,355]: g1.g3.g1.gap0 : 0.0033
[2020-04-03 15:01:32,355]: g5.g7.g2.gap0 : 0.0033
[2020-04-03 15:01:32,355]: g6.g3.g5.gap0 : 0.0033
[2020-04-03 15:01:32,355]: g3.g4.g6.gap0 : 0.0033
[2020-04-03 15:01:32,355]: g3.g2.g4.gap0 : 0.0033
[2020-04-03 15:01:32,355]: g1.g1.g4.gap0 : 0.0033
[2020-04-03 15:01:32,355]: g2.g5.g4.gap0 : 0.0033
[2020-04-03 15:01:32,355]: g4.g7.g6.gap0 : 0.0033
[2020-04-03 15:01:32,355]: g2.g4.g1.gap0 : 0.0032
[2020-04-03 15:01:32,355]: g1.g2.g5.gap0 : 0.0032
[2020-04-03 15:01:32,355]: g4.g4.g3.gap0 : 0.0032
[2020-04-03 15:01:32,355]: g1.g4.g4.gap0 : 0.0032
[2020-04-03 15:01:32,355]: g3.g4.g2.gap0 : 0.0032
[2020-04-03 15:01:32,355]: g3.g5.g2.gap0 : 0.0032
[2020-04-03 15:01:32,356]: g2.g1.g1.gap0 : 0.0032
[2020-04-03 15:01:32,356]: g7.g2.g5.gap0 : 0.0032
[2020-04-03 15:01:32,356]: g5.g2.g4.gap0 : 0.0032
[2020-04-03 15:01:32,356]: g6.g3.g3.gap0 : 0.0032
[2020-04-03 15:01:32,356]: g4.g6.g1.gap0 : 0.0032
[2020-04-03 15:01:32,356]: g6.g4.g5.gap0 : 0.0032
[2020-04-03 15:01:32,356]: g6.g1.g6.gap0 : 0.0032
[2020-04-03 15:01:32,356]: g7.g7.g2.gap0 : 0.0032
[2020-04-03 15:01:32,356]: g2.g4.g3.gap0 : 0.0032
[2020-04-03 15:01:32,356]: g4.g1.g4.gap0 : 0.0032
[2020-04-03 15:01:32,356]: g3.g3.g7.gap0 : 0.0032
[2020-04-03 15:01:32,356]: g1.g1.g3.gap0 : 0.0032
[2020-04-03 15:01:32,356]: g3.g5.g3.gap0 : 0.0032
[2020-04-03 15:01:32,356]: g1.g2.g4.gap0 : 0.0032
[2020-04-03 15:01:32,356]: g6.g2.g5.gap0 : 0.0032
[2020-04-03 15:01:32,356]: g1.g6.g3.gap0 : 0.0032
[2020-04-03 15:01:32,356]: g4.g4.g1.gap0 : 0.0032
[2020-04-03 15:01:32,357]: g7.g1.g6.gap0 : 0.0032
[2020-04-03 15:01:32,357]: g2.g5.g2.gap0 : 0.0032
[2020-04-03 15:01:32,357]: g3.g5.g4.gap0 : 0.0032
[2020-04-03 15:01:32,357]: g3.g5.g1.gap0 : 0.0032
[2020-04-03 15:01:32,357]: g1.g4.g3.gap0 : 0.0032
[2020-04-03 15:01:32,357]: g2.g6.g2.gap0 : 0.0032
[2020-04-03 15:01:32,357]: g5.g6.g1.gap0 : 0.0032
[2020-04-03 15:01:32,357]: g7.g1.g1.gap0 : 0.0032
[2020-04-03 15:01:32,357]: g4.g5.g2.gap0 : 0.0032
[2020-04-03 15:01:32,357]: g2.g1.g6.gap0 : 0.0032
[2020-04-03 15:01:32,357]: g5.g5.g1.gap0 : 0.0032
[2020-04-03 15:01:32,357]: g1.g6.g4.gap0 : 0.0032
[2020-04-03 15:01:32,357]: g5.g5.g2.gap0 : 0.0032
[2020-04-03 15:01:32,357]: g3.g6.g5.gap0 : 0.0032
[2020-04-03 15:01:32,357]: g2.g6.g1.gap0 : 0.0032
[2020-04-03 15:01:32,357]: g7.g5.g3.gap0 : 0.0032
[2020-04-03 15:01:32,357]: g5.g3.g4.gap0 : 0.0032
[2020-04-03 15:01:32,358]: g3.g3.g3.gap0 : 0.0032
[2020-04-03 15:01:32,358]: g3.g4.g5.gap0 : 0.0032
[2020-04-03 15:01:32,358]: g2.g3.g4.gap0 : 0.0032
[2020-04-03 15:01:32,358]: g6.g2.g3.gap0 : 0.0032
[2020-04-03 15:01:32,358]: g3.g2.g2.gap0 : 0.0032
