[2020-02-17 22:16:05,753]: ---mrmd 2.0 start----
[2020-02-17 22:16:09,882]: ANOVA start...
[2020-02-17 22:16:09,910]: ANOVA end.
[2020-02-17 22:16:09,910]: mic start...
[2020-02-17 22:17:01,941]: mic end.
[2020-02-17 22:17:01,941]: mrmd start...
[2020-02-17 22:17:02,302]: mrmd end.
[2020-02-17 22:17:02,302]: mRMR start...
[2020-02-17 22:17:08,306]: mRMR end.
[2020-02-17 22:17:08,307]: lasso start...
[2020-02-17 22:17:08,547]: lasso end.
[2020-02-17 22:17:08,547]: chi2 start...
[2020-02-17 22:17:08,660]: chi2 end.
[2020-02-17 22:17:08,660]: ref start...
[2020-02-17 22:17:09,787]: ref end.
[2020-02-17 22:17:11,872]: The final  rank is
[2020-02-17 22:17:11,872]: aromatic.uncharger.gap1 : 0.0000000000
[2020-02-17 22:17:11,872]: postivecharger.postivecharger.gap1 : 0.0000000000
[2020-02-17 22:17:11,872]: alphaticr.aromatic.gap0 : 0.0000000000
[2020-02-17 22:17:11,873]: postivecharger.uncharger.gap5 : 0.0000000000
[2020-02-17 22:17:11,873]: aromatic.uncharger.gap2 : 0.0000000000
[2020-02-17 22:17:11,873]: uncharger.postivecharger.gap2 : 0.0000000000
[2020-02-17 22:17:11,873]: postivecharger.uncharger.gap2 : 0.0000000000
[2020-02-17 22:17:11,873]: aromatic.uncharger.gap0 : 0.0000000000
[2020-02-17 22:17:11,873]: uncharger.aromatic.gap0 : 0.0000000000
[2020-02-17 22:17:11,873]: postivecharger.alphaticr.gap1 : 0.0000000000
[2020-02-17 22:17:11,873]: aromatic.uncharger.gap5 : 0.0000000000
[2020-02-17 22:17:11,873]: aromatic.negativecharger.gap0 : 0.0000000000
[2020-02-17 22:17:11,874]: uncharger.alphaticr.gap2 : 0.0000000000
[2020-02-17 22:17:11,874]: aromatic.uncharger.gap4 : 0.0000000000
[2020-02-17 22:17:11,874]: aromatic.postivecharger.gap4 : 0.0000000000
[2020-02-17 22:17:11,874]: uncharger.postivecharger.gap0 : 0.0000000000
[2020-02-17 22:17:11,874]: alphaticr.uncharger.gap0 : 0.0000000000
[2020-02-17 22:17:11,874]: uncharger.uncharger.gap3 : 0.0000000000
[2020-02-17 22:17:11,874]: negativecharger.postivecharger.gap2 : 0.0000000000
[2020-02-17 22:17:11,874]: negativecharger.alphaticr.gap0 : 0.0000000000
[2020-02-17 22:17:11,874]: postivecharger.alphaticr.gap0 : 0.0000000000
[2020-02-17 22:17:11,875]: alphaticr.postivecharger.gap2 : 0.0000000000
[2020-02-17 22:17:11,875]: uncharger.alphaticr.gap5 : 0.0000000000
[2020-02-17 22:17:11,875]: aromatic.postivecharger.gap5 : 0.0000000000
[2020-02-17 22:17:11,875]: negativecharger.aromatic.gap2 : 0.0000000000
[2020-02-17 22:17:11,875]: alphaticr.alphaticr.gap1 : 0.0000000000
[2020-02-17 22:17:11,875]: uncharger.aromatic.gap4 : 0.0000000000
[2020-02-17 22:17:11,875]: alphaticr.alphaticr.gap5 : 0.0000000000
[2020-02-17 22:17:11,875]: postivecharger.negativecharger.gap5 : 0.0000000000
[2020-02-17 22:17:11,875]: aromatic.aromatic.gap3 : 0.0000000000
[2020-02-17 22:17:11,876]: uncharger.postivecharger.gap5 : 0.0000000000
[2020-02-17 22:17:11,876]: alphaticr.alphaticr.gap0 : 0.0000000000
[2020-02-17 22:17:11,876]: alphaticr.postivecharger.gap3 : 0.0000000000
[2020-02-17 22:17:11,876]: alphaticr.aromatic.gap2 : 0.0000000000
[2020-02-17 22:17:11,876]: uncharger.negativecharger.gap1 : 0.0000000000
[2020-02-17 22:17:11,876]: postivecharger.uncharger.gap3 : 0.0000000000
[2020-02-17 22:17:11,876]: negativecharger.uncharger.gap2 : 0.0000000000
[2020-02-17 22:17:11,877]: aromatic.negativecharger.gap5 : 0.0000000000
[2020-02-17 22:17:11,877]: uncharger.aromatic.gap5 : 0.0000000000
[2020-02-17 22:17:11,877]: alphaticr.uncharger.gap2 : 0.0000000000
[2020-02-17 22:17:11,877]: negativecharger.alphaticr.gap3 : 0.0000000000
[2020-02-17 22:17:11,877]: postivecharger.negativecharger.gap0 : 0.0000000000
[2020-02-17 22:17:11,877]: aromatic.aromatic.gap1 : 0.0000000000
[2020-02-17 22:17:11,877]: alphaticr.negativecharger.gap0 : 0.0000000000
[2020-02-17 22:17:11,877]: postivecharger.negativecharger.gap1 : 0.0000000000
[2020-02-17 22:17:11,879]: aromatic.postivecharger.gap0 : 0.0000000000
[2020-02-17 22:17:11,879]: postivecharger.postivecharger.gap4 : 0.0000000000
[2020-02-17 22:17:11,879]: alphaticr.uncharger.gap4 : 0.0000000000
[2020-02-17 22:17:11,879]: aromatic.postivecharger.gap2 : 0.0000000000
[2020-02-17 22:17:11,880]: uncharger.aromatic.gap1 : 0.0000000000
[2020-02-17 22:17:11,880]: uncharger.postivecharger.gap3 : 0.0000000000
[2020-02-17 22:17:11,880]: postivecharger.alphaticr.gap4 : 0.0000000000
[2020-02-17 22:17:11,881]: negativecharger.uncharger.gap1 : 0.0000000000
[2020-02-17 22:17:11,881]: negativecharger.negativecharger.gap5 : 0.0000000000
[2020-02-17 22:17:11,881]: alphaticr.uncharger.gap1 : 0.0000000000
[2020-02-17 22:17:11,881]: uncharger.uncharger.gap1 : 0.0000000000
[2020-02-17 22:17:11,881]: negativecharger.postivecharger.gap0 : 0.0000000000
[2020-02-17 22:17:11,881]: alphaticr.aromatic.gap1 : 0.0000000000
[2020-02-17 22:17:11,881]: uncharger.postivecharger.gap4 : 0.0000000000
[2020-02-17 22:17:11,881]: negativecharger.uncharger.gap0 : 0.0000000000
[2020-02-17 22:17:11,882]: aromatic.alphaticr.gap4 : 0.0000000000
[2020-02-17 22:17:11,882]: postivecharger.alphaticr.gap3 : 0.0000000000
[2020-02-17 22:17:11,882]: postivecharger.uncharger.gap1 : 0.0000000000
[2020-02-17 22:17:11,882]: alphaticr.postivecharger.gap1 : 0.0000000000
[2020-02-17 22:17:11,883]: alphaticr.postivecharger.gap0 : 0.0000000000
[2020-02-17 22:17:11,883]: negativecharger.uncharger.gap5 : 0.0000000000
[2020-02-17 22:17:11,883]: aromatic.aromatic.gap0 : 0.0000000000
[2020-02-17 22:17:11,886]: negativecharger.negativecharger.gap2 : 0.0000000000
[2020-02-17 22:17:11,886]: uncharger.uncharger.gap0 : 0.0000000000
[2020-02-17 22:17:11,886]: uncharger.alphaticr.gap1 : 0.0000000000
[2020-02-17 22:17:11,886]: alphaticr.negativecharger.gap3 : 0.0000000000
[2020-02-17 22:17:11,886]: negativecharger.negativecharger.gap3 : 0.0000000000
[2020-02-17 22:17:11,886]: alphaticr.alphaticr.gap4 : 0.0000000000
[2020-02-17 22:17:11,887]: postivecharger.postivecharger.gap2 : 0.0000000000
[2020-02-17 22:17:11,887]: alphaticr.alphaticr.gap3 : 0.0000000000
[2020-02-17 22:17:11,887]: aromatic.aromatic.gap2 : 0.0000000000
[2020-02-17 22:17:11,887]: postivecharger.alphaticr.gap5 : 0.0000000000
[2020-02-17 22:17:11,887]: alphaticr.uncharger.gap3 : 0.0000000000
[2020-02-17 22:17:11,887]: negativecharger.negativecharger.gap4 : 0.0000000000
[2020-02-17 22:17:11,887]: postivecharger.aromatic.gap3 : 0.0000000000
[2020-02-17 22:17:11,887]: uncharger.negativecharger.gap4 : 0.0000000000
[2020-02-17 22:17:11,887]: uncharger.aromatic.gap3 : 0.0000000000
[2020-02-17 22:17:11,888]: aromatic.postivecharger.gap3 : 0.0000000000
[2020-02-17 22:17:11,888]: alphaticr.negativecharger.gap1 : 0.0000000000
[2020-02-17 22:17:11,888]: negativecharger.postivecharger.gap4 : 0.0000000000
[2020-02-17 22:17:11,888]: postivecharger.aromatic.gap0 : 0.0000000000
[2020-02-17 22:17:11,888]: uncharger.negativecharger.gap0 : 0.0000000000
[2020-02-17 22:17:11,888]: alphaticr.postivecharger.gap5 : 0.0000000000
[2020-02-17 22:17:11,888]: postivecharger.postivecharger.gap3 : 0.0000000000
[2020-02-17 22:17:11,888]: alphaticr.aromatic.gap3 : 0.0000000000
[2020-02-17 22:17:11,888]: aromatic.negativecharger.gap1 : 0.0000000000
[2020-02-17 22:17:11,888]: postivecharger.aromatic.gap1 : 0.0000000000
[2020-02-17 22:17:11,889]: uncharger.uncharger.gap4 : 0.0000000000
[2020-02-17 22:17:11,889]: uncharger.postivecharger.gap1 : 0.0000000000
[2020-02-17 22:17:11,889]: uncharger.uncharger.gap5 : 0.0000000000
[2020-02-17 22:17:11,889]: alphaticr.aromatic.gap5 : 0.0000000000
