[2020-03-31 17:13:42,939]: ---mrmd 2.0 start----
[2020-03-31 17:14:38,666]: ANOVA start...
[2020-03-31 17:14:40,216]: ANOVA end.
[2020-03-31 17:14:40,216]: mic start...
[2020-03-31 17:15:01,979]: mic end.
[2020-03-31 17:15:01,980]: mrmd start...
[2020-03-31 17:15:38,413]: mrmd end.
[2020-03-31 17:15:38,416]: mRMR start...
[2020-03-31 17:19:48,960]: mRMR end.
[2020-03-31 17:19:48,960]: lasso start...
[2020-03-31 17:19:51,353]: lasso end.
[2020-03-31 17:19:51,354]: chi2 start...
[2020-03-31 17:19:53,299]: chi2 end.
[2020-03-31 17:19:53,312]: ref start...
[2020-03-31 17:20:40,562]: ref end.
[2020-03-31 17:20:40,608]: rank start ...
[2020-03-31 17:20:40,850]: The final  rank is
[2020-03-31 17:20:40,851]: fea939 : 0.0013
[2020-03-31 17:20:40,851]: fea578 : 0.0013
[2020-03-31 17:20:40,851]: fea576 : 0.0013
[2020-03-31 17:20:40,851]: fea687 : 0.0013
[2020-03-31 17:20:40,852]: fea952 : 0.0013
[2020-03-31 17:20:40,852]: fea583 : 0.0013
[2020-03-31 17:20:40,852]: fea644 : 0.0013
[2020-03-31 17:20:40,852]: fea929 : 0.0012
[2020-03-31 17:20:40,852]: fea763 : 0.0012
[2020-03-31 17:20:40,852]: fea698 : 0.0012
[2020-03-31 17:20:40,852]: fea707 : 0.0012
[2020-03-31 17:20:40,852]: fea744 : 0.0012
[2020-03-31 17:20:40,852]: fea592 : 0.0012
[2020-03-31 17:20:40,853]: fea910 : 0.0012
[2020-03-31 17:20:40,853]: fea520 : 0.0012
[2020-03-31 17:20:40,853]: fea936 : 0.0012
[2020-03-31 17:20:40,853]: fea648 : 0.0012
[2020-03-31 17:20:40,853]: fea931 : 0.0012
[2020-03-31 17:20:40,853]: fea716 : 0.0012
[2020-03-31 17:20:40,853]: fea930 : 0.0012
[2020-03-31 17:20:40,853]: fea569 : 0.0012
[2020-03-31 17:20:40,854]: fea653 : 0.0012
[2020-03-31 17:20:40,854]: fea596 : 0.0012
[2020-03-31 17:20:40,854]: fea913 : 0.0012
[2020-03-31 17:20:40,854]: fea932 : 0.0012
[2020-03-31 17:20:40,854]: fea951 : 0.0012
[2020-03-31 17:20:40,854]: fea640 : 0.0012
[2020-03-31 17:20:40,854]: fea943 : 0.0012
[2020-03-31 17:20:40,854]: fea552 : 0.0012
[2020-03-31 17:20:40,855]: fea715 : 0.0012
[2020-03-31 17:20:40,855]: fea738 : 0.0012
[2020-03-31 17:20:40,855]: fea690 : 0.0012
[2020-03-31 17:20:40,855]: fea907 : 0.0012
[2020-03-31 17:20:40,855]: fea682 : 0.0012
[2020-03-31 17:20:40,855]: fea584 : 0.0011
[2020-03-31 17:20:40,855]: fea953 : 0.0011
[2020-03-31 17:20:40,855]: fea960 : 0.0011
[2020-03-31 17:20:40,856]: fea672 : 0.0011
[2020-03-31 17:20:40,856]: fea641 : 0.0011
[2020-03-31 17:20:40,856]: fea664 : 0.0011
[2020-03-31 17:20:40,856]: fea488 : 0.0011
[2020-03-31 17:20:40,856]: fea515 : 0.0011
[2020-03-31 17:20:40,856]: fea739 : 0.0011
[2020-03-31 17:20:40,856]: fea665 : 0.0011
[2020-03-31 17:20:40,856]: fea729 : 0.0011
[2020-03-31 17:20:40,856]: fea720 : 0.0011
[2020-03-31 17:20:40,857]: fea691 : 0.0011
[2020-03-31 17:20:40,857]: fea909 : 0.0011
[2020-03-31 17:20:40,857]: fea605 : 0.0011
[2020-03-31 17:20:40,857]: fea827 : 0.0011
[2020-03-31 17:20:40,857]: fea635 : 0.0011
[2020-03-31 17:20:40,857]: fea628 : 0.0011
[2020-03-31 17:20:40,857]: fea638 : 0.0011
[2020-03-31 17:20:40,857]: fea684 : 0.0011
[2020-03-31 17:20:40,858]: fea819 : 0.0011
[2020-03-31 17:20:40,858]: fea757 : 0.0011
[2020-03-31 17:20:40,858]: fea622 : 0.0011
[2020-03-31 17:20:40,858]: fea604 : 0.0011
[2020-03-31 17:20:40,858]: fea267 : 0.0011
[2020-03-31 17:20:40,858]: fea538 : 0.0011
[2020-03-31 17:20:40,858]: fea540 : 0.0011
[2020-03-31 17:20:40,858]: fea634 : 0.0011
[2020-03-31 17:20:40,859]: fea539 : 0.0011
[2020-03-31 17:20:40,859]: fea577 : 0.0011
[2020-03-31 17:20:40,859]: fea551 : 0.0011
[2020-03-31 17:20:40,859]: fea636 : 0.0011
[2020-03-31 17:20:40,859]: fea752 : 0.0011
[2020-03-31 17:20:40,859]: fea527 : 0.0011
[2020-03-31 17:20:40,859]: fea906 : 0.0011
[2020-03-31 17:20:40,859]: fea693 : 0.0011
[2020-03-31 17:20:40,859]: fea555 : 0.0011
[2020-03-31 17:20:40,860]: fea681 : 0.0011
[2020-03-31 17:20:40,860]: fea72 : 0.0011
[2020-03-31 17:20:40,860]: fea521 : 0.0011
[2020-03-31 17:20:40,860]: fea609 : 0.0011
[2020-03-31 17:20:40,860]: fea674 : 0.0011
[2020-03-31 17:20:40,860]: fea706 : 0.0011
[2020-03-31 17:20:40,860]: fea652 : 0.0011
[2020-03-31 17:20:40,860]: fea616 : 0.0011
[2020-03-31 17:20:40,861]: fea645 : 0.0011
[2020-03-31 17:20:40,861]: fea668 : 0.0011
[2020-03-31 17:20:40,861]: fea1019 : 0.0011
