[2020-03-30 22:22:16,379]: ---mrmd 2.0 start----
[2020-03-30 22:22:55,583]: ANOVA start...
[2020-03-30 22:22:56,480]: ANOVA end.
[2020-03-30 22:22:56,481]: mic start...
[2020-03-30 22:23:10,822]: mic end.
[2020-03-30 22:23:10,824]: mrmd start...
[2020-03-30 22:23:14,379]: mrmd end.
[2020-03-30 22:23:14,382]: mRMR start...
[2020-03-30 22:29:36,134]: mRMR end.
[2020-03-30 22:29:36,135]: lasso start...
[2020-03-30 22:29:40,171]: lasso end.
[2020-03-30 22:29:40,171]: chi2 start...
[2020-03-30 22:29:44,252]: chi2 end.
[2020-03-30 22:29:44,253]: ref start...
[2020-03-30 22:37:05,230]: ref end.
