[2020-03-24 19:06:57,722]: ---mrmd 2.0 start----
[2020-03-24 19:09:13,789]: ANOVA start...
[2020-03-24 19:09:17,329]: ANOVA end.
[2020-03-24 19:09:17,329]: mic start...
[2020-03-24 19:09:42,394]: mic end.
[2020-03-24 19:09:42,397]: mrmd start...
[2020-03-24 19:10:21,553]: mrmd end.
[2020-03-24 19:10:21,556]: mRMR start...
[2020-03-24 19:27:26,435]: mRMR end.
[2020-03-24 19:27:26,435]: lasso start...
[2020-03-24 19:27:29,566]: lasso end.
[2020-03-24 19:27:29,566]: chi2 start...
[2020-03-24 19:27:32,887]: chi2 end.
[2020-03-24 19:27:32,887]: ref start...
[2020-03-24 19:28:48,738]: ref end.
[2020-03-24 19:29:48,653]: Start dimension reduction ...
[2020-03-24 19:29:54,725]: length=1 f1=0.6737 accuarcy=0.7520 precision=0.7164 recall=0.7520 auc=0.5311 
[2020-03-24 19:30:00,886]: length=2 f1=0.6936 accuarcy=0.7550 precision=0.7187 recall=0.7550 auc=0.5517 
[2020-03-24 19:30:07,050]: length=3 f1=0.7076 accuarcy=0.7531 precision=0.7154 recall=0.7531 auc=0.5700 
[2020-03-24 19:30:13,787]: length=4 f1=0.7185 accuarcy=0.7576 precision=0.7243 recall=0.7576 auc=0.5844 
[2020-03-24 19:30:20,541]: length=5 f1=0.7162 accuarcy=0.7557 precision=0.7212 recall=0.7557 auc=0.5817 
[2020-03-24 19:30:27,273]: length=6 f1=0.7169 accuarcy=0.7524 precision=0.7177 recall=0.7524 auc=0.5847 
[2020-03-24 19:30:33,708]: length=7 f1=0.7192 accuarcy=0.7535 precision=0.7198 recall=0.7535 auc=0.5879 
[2020-03-24 19:30:40,813]: length=8 f1=0.7255 accuarcy=0.7561 precision=0.7251 recall=0.7561 auc=0.5972 
[2020-03-24 19:30:47,316]: length=9 f1=0.7245 accuarcy=0.7535 precision=0.7224 recall=0.7535 auc=0.5974 
[2020-03-24 19:30:53,733]: length=10 f1=0.7238 accuarcy=0.7494 precision=0.7194 recall=0.7494 auc=0.5994 
[2020-03-24 19:31:00,496]: length=11 f1=0.7195 accuarcy=0.7436 precision=0.7134 recall=0.7436 auc=0.5960 
[2020-03-24 19:31:07,075]: length=12 f1=0.7211 accuarcy=0.7436 precision=0.7148 recall=0.7436 auc=0.5993 
[2020-03-24 19:31:13,652]: length=13 f1=0.7247 accuarcy=0.7447 precision=0.7182 recall=0.7447 auc=0.6057 
[2020-03-24 19:31:20,754]: length=14 f1=0.7264 accuarcy=0.7450 precision=0.7199 recall=0.7450 auc=0.6093 
[2020-03-24 19:31:27,819]: length=15 f1=0.7306 accuarcy=0.7506 precision=0.7250 recall=0.7506 auc=0.6126 
[2020-03-24 19:31:34,520]: length=16 f1=0.7312 accuarcy=0.7513 precision=0.7257 recall=0.7513 auc=0.6131 
[2020-03-24 19:31:41,485]: length=17 f1=0.7383 accuarcy=0.7587 precision=0.7342 recall=0.7587 auc=0.6209 
[2020-03-24 19:31:48,323]: length=18 f1=0.7321 accuarcy=0.7506 precision=0.7263 recall=0.7506 auc=0.6159 
[2020-03-24 19:31:55,405]: length=19 f1=0.7273 accuarcy=0.7483 precision=0.7216 recall=0.7483 auc=0.6077 
[2020-03-24 19:32:02,317]: length=20 f1=0.7365 accuarcy=0.7572 precision=0.7322 recall=0.7572 auc=0.6184 
[2020-03-24 19:32:09,021]: length=21 f1=0.7380 accuarcy=0.7594 precision=0.7344 recall=0.7594 auc=0.6194 
[2020-03-24 19:32:15,813]: length=22 f1=0.7353 accuarcy=0.7576 precision=0.7316 recall=0.7576 auc=0.6154 
[2020-03-24 19:32:22,576]: length=23 f1=0.7481 accuarcy=0.7690 precision=0.7462 recall=0.7690 auc=0.6311 
[2020-03-24 19:32:29,485]: length=24 f1=0.7548 accuarcy=0.7745 precision=0.7535 recall=0.7745 auc=0.6401 
