[2020-03-31 10:05:01,671]: ---mrmd 2.0 start----
[2020-03-31 10:05:21,681]: ANOVA start...
[2020-03-31 10:05:21,702]: ANOVA end.
[2020-03-31 10:05:21,702]: mic start...
[2020-03-31 10:05:22,011]: mic end.
[2020-03-31 10:05:22,011]: mrmd start...
[2020-03-31 10:05:23,362]: mrmd end.
[2020-03-31 10:05:23,362]: mRMR start...
[2020-03-31 10:05:58,193]: mRMR end.
[2020-03-31 10:05:58,194]: lasso start...
[2020-03-31 10:05:58,339]: lasso end.
[2020-03-31 10:05:58,339]: chi2 start...
[2020-03-31 10:05:58,455]: chi2 end.
[2020-03-31 10:05:58,455]: ref start...
[2020-03-31 10:05:58,898]: ref end.
[2020-03-31 10:05:58,906]: rank start ...
[2020-03-31 10:05:58,978]: The final  rank is
[2020-03-31 10:05:58,978]: VT : 0.0031
[2020-03-31 10:05:58,978]: KK : 0.0031
[2020-03-31 10:05:58,978]: SR : 0.0030
[2020-03-31 10:05:58,978]: FN : 0.0030
[2020-03-31 10:05:58,978]: QF : 0.0030
[2020-03-31 10:05:58,978]: AR : 0.0030
[2020-03-31 10:05:58,978]: FF : 0.0030
[2020-03-31 10:05:58,978]: GH : 0.0030
[2020-03-31 10:05:58,978]: NE : 0.0030
[2020-03-31 10:05:58,979]: KA : 0.0030
[2020-03-31 10:05:58,979]: ID : 0.0030
[2020-03-31 10:05:58,979]: TP : 0.0030
[2020-03-31 10:05:58,979]: EE : 0.0030
[2020-03-31 10:05:58,979]: DY : 0.0030
[2020-03-31 10:05:58,979]: AN : 0.0030
[2020-03-31 10:05:58,979]: NA : 0.0030
[2020-03-31 10:05:58,979]: VI : 0.0029
[2020-03-31 10:05:58,979]: IV : 0.0029
[2020-03-31 10:05:58,979]: QQ : 0.0029
[2020-03-31 10:05:58,979]: KF : 0.0029
[2020-03-31 10:05:58,979]: KM : 0.0029
[2020-03-31 10:05:58,979]: II : 0.0029
[2020-03-31 10:05:58,979]: AA : 0.0029
[2020-03-31 10:05:58,979]: PP : 0.0029
[2020-03-31 10:05:58,979]: DM : 0.0029
[2020-03-31 10:05:58,979]: TA : 0.0029
[2020-03-31 10:05:58,979]: FE : 0.0029
[2020-03-31 10:05:58,980]: LN : 0.0029
[2020-03-31 10:05:58,980]: DE : 0.0029
[2020-03-31 10:05:58,980]: NN : 0.0029
[2020-03-31 10:05:58,980]: NI : 0.0029
[2020-03-31 10:05:58,980]: EA : 0.0029
[2020-03-31 10:05:58,980]: NQ : 0.0029
[2020-03-31 10:05:58,980]: DT : 0.0029
[2020-03-31 10:05:58,980]: MK : 0.0029
[2020-03-31 10:05:58,980]: KV : 0.0029
[2020-03-31 10:05:58,980]: PE : 0.0029
[2020-03-31 10:05:58,980]: KY : 0.0029
[2020-03-31 10:05:58,980]: SF : 0.0029
[2020-03-31 10:05:58,980]: TV : 0.0029
[2020-03-31 10:05:58,980]: IQ : 0.0029
[2020-03-31 10:05:58,980]: DP : 0.0029
[2020-03-31 10:05:58,980]: TS : 0.0029
[2020-03-31 10:05:58,980]: NF : 0.0029
[2020-03-31 10:05:58,980]: DF : 0.0028
[2020-03-31 10:05:58,981]: VK : 0.0028
[2020-03-31 10:05:58,981]: DK : 0.0028
[2020-03-31 10:05:58,981]: AV : 0.0028
[2020-03-31 10:05:58,981]: EI : 0.0028
[2020-03-31 10:05:58,981]: IY : 0.0028
[2020-03-31 10:05:58,981]: MN : 0.0028
[2020-03-31 10:05:58,981]: HA : 0.0028
[2020-03-31 10:05:58,981]: GV : 0.0028
[2020-03-31 10:05:58,981]: KE : 0.0028
[2020-03-31 10:05:58,981]: PL : 0.0028
[2020-03-31 10:05:58,981]: MH : 0.0028
[2020-03-31 10:05:58,981]: FD : 0.0028
[2020-03-31 10:05:58,981]: WN : 0.0028
[2020-03-31 10:05:58,981]: NP : 0.0028
[2020-03-31 10:05:58,981]: FA : 0.0028
[2020-03-31 10:05:58,981]: MA : 0.0028
[2020-03-31 10:05:58,981]: EK : 0.0028
[2020-03-31 10:05:58,981]: AG : 0.0028
[2020-03-31 10:05:58,982]: RQ : 0.0028
[2020-03-31 10:05:58,982]: QY : 0.0028
[2020-03-31 10:05:58,982]: EL : 0.0028
[2020-03-31 10:05:58,982]: FP : 0.0028
[2020-03-31 10:05:58,982]: AK : 0.0028
[2020-03-31 10:05:58,982]: MP : 0.0028
[2020-03-31 10:05:58,982]: AE : 0.0028
[2020-03-31 10:05:58,982]: EQ : 0.0028
[2020-03-31 10:05:58,982]: MD : 0.0028
[2020-03-31 10:05:58,982]: TH : 0.0028
[2020-03-31 10:05:58,982]: TG : 0.0028
[2020-03-31 10:05:58,982]: KI : 0.0028
[2020-03-31 10:05:58,982]: VG : 0.0028
[2020-03-31 10:05:58,982]: AM : 0.0028
[2020-03-31 10:05:58,982]: AP : 0.0028
[2020-03-31 10:05:58,982]: VL : 0.0028
[2020-03-31 10:05:58,982]: HP : 0.0028
[2020-03-31 10:05:58,982]: QV : 0.0027
[2020-03-31 10:05:58,983]: GN : 0.0027
[2020-03-31 10:05:58,983]: KN : 0.0027
[2020-03-31 10:05:58,983]: DQ : 0.0027
[2020-03-31 10:05:58,983]: FT : 0.0027
[2020-03-31 10:05:58,983]: YV : 0.0027
[2020-03-31 10:05:58,983]: DN : 0.0027
[2020-03-31 10:05:58,983]: YN : 0.0027
[2020-03-31 10:05:58,983]: SA : 0.0027
[2020-03-31 10:05:58,983]: IT : 0.0027
[2020-03-31 10:05:58,983]: VS : 0.0027
[2020-03-31 10:05:58,983]: PY : 0.0027
[2020-03-31 10:05:58,983]: LY : 0.0027
[2020-03-31 10:05:58,983]: LP : 0.0027
[2020-03-31 10:05:58,983]: MF : 0.0027
[2020-03-31 10:05:58,983]: KH : 0.0027
[2020-03-31 10:05:58,983]: SS : 0.0027
[2020-03-31 10:05:58,983]: YG : 0.0027
[2020-03-31 10:05:58,983]: GT : 0.0027
[2020-03-31 10:05:58,984]: YE : 0.0027
[2020-03-31 10:05:58,984]: NR : 0.0027
[2020-03-31 10:05:58,984]: IN : 0.0027
[2020-03-31 10:05:58,984]: RN : 0.0027
[2020-03-31 10:05:58,984]: CK : 0.0027
[2020-03-31 10:05:58,984]: DR : 0.0027
[2020-03-31 10:05:58,984]: MS : 0.0027
[2020-03-31 10:05:58,984]: VV : 0.0027
[2020-03-31 10:05:58,984]: GM : 0.0027
[2020-03-31 10:05:58,984]: NS : 0.0026
[2020-03-31 10:05:58,984]: HI : 0.0026
[2020-03-31 10:05:58,984]: ER : 0.0026
[2020-03-31 10:05:58,984]: EP : 0.0026
[2020-03-31 10:05:58,984]: LC : 0.0026
[2020-03-31 10:05:58,984]: SE : 0.0026
[2020-03-31 10:05:58,984]: PN : 0.0026
[2020-03-31 10:05:58,984]: QR : 0.0026
[2020-03-31 10:05:58,985]: WS : 0.0026
[2020-03-31 10:05:58,985]: MT : 0.0026
[2020-03-31 10:05:58,985]: PR : 0.0026
[2020-03-31 10:05:58,985]: ES : 0.0026
