[2020-03-23 19:58:08,875]: ---mrmd 2.0 start----
[2020-03-23 19:59:19,963]: ANOVA start...
[2020-03-23 19:59:20,072]: ANOVA end.
[2020-03-23 19:59:20,072]: mic start...
[2020-03-23 19:59:29,328]: mic end.
[2020-03-23 19:59:29,329]: mrmd start...
[2020-03-23 19:59:29,400]: mrmd end.
[2020-03-23 19:59:29,400]: mRMR start...
[2020-03-23 19:59:31,523]: mRMR end.
[2020-03-23 19:59:31,524]: lasso start...
[2020-03-23 19:59:32,211]: lasso end.
[2020-03-23 19:59:32,211]: chi2 start...
[2020-03-23 19:59:32,889]: chi2 end.
[2020-03-23 19:59:32,889]: ref start...
[2020-03-23 19:59:33,358]: ref end.
[2020-03-23 19:59:33,523]: Start dimension reduction ...
