[2020-04-04 13:18:02,463]: ---mrmd 2.0 start----
[2020-04-04 13:18:21,867]: ANOVA start...
[2020-04-04 13:18:22,177]: ANOVA end.
[2020-04-04 13:18:22,177]: mic start...
[2020-04-04 13:18:25,225]: mic end.
[2020-04-04 13:18:25,225]: mrmd start...
[2020-04-04 13:26:45,639]: mrmd end.
[2020-04-04 13:26:45,641]: mRMR start...
[2020-04-04 13:26:46,909]: mRMR end.
[2020-04-04 13:26:46,909]: lasso start...
[2020-04-04 13:26:47,731]: lasso end.
[2020-04-04 13:26:47,732]: chi2 start...
[2020-04-04 13:26:48,830]: chi2 end.
[2020-04-04 13:26:48,830]: ref start...
[2020-04-04 13:27:08,334]: ref end.
[2020-04-04 13:27:08,464]: rank start ...
[2020-04-04 13:27:09,803]: The final  rank is
[2020-04-04 13:27:09,808]: fea7100 : 0.0002
[2020-04-04 13:27:09,808]: fea5368 : 0.0002
[2020-04-04 13:27:09,808]: fea3600 : 0.0002
[2020-04-04 13:27:09,808]: fea7140 : 0.0002
[2020-04-04 13:27:09,808]: fea331 : 0.0002
[2020-04-04 13:27:09,808]: fea5344 : 0.0002
[2020-04-04 13:27:09,808]: fea2358 : 0.0002
[2020-04-04 13:27:09,808]: fea4168 : 0.0002
[2020-04-04 13:27:09,808]: fea5265 : 0.0002
[2020-04-04 13:27:09,808]: fea1971 : 0.0002
[2020-04-04 13:27:09,808]: fea2728 : 0.0002
[2020-04-04 13:27:09,809]: fea4171 : 0.0002
[2020-04-04 13:27:09,809]: fea5267 : 0.0002
[2020-04-04 13:27:09,809]: fea384 : 0.0002
[2020-04-04 13:27:09,809]: fea5269 : 0.0002
[2020-04-04 13:27:09,809]: fea6924 : 0.0002
[2020-04-04 13:27:09,809]: fea5367 : 0.0002
[2020-04-04 13:27:09,809]: fea2265 : 0.0002
[2020-04-04 13:27:09,809]: fea5868 : 0.0002
[2020-04-04 13:27:09,809]: fea3247 : 0.0002
[2020-04-04 13:27:09,809]: fea5276 : 0.0002
[2020-04-04 13:27:09,809]: fea6180 : 0.0002
[2020-04-04 13:27:09,809]: fea2356 : 0.0002
[2020-04-04 13:27:09,809]: fea6051 : 0.0002
[2020-04-04 13:27:09,809]: fea527 : 0.0002
[2020-04-04 13:27:09,809]: fea2295 : 0.0002
[2020-04-04 13:27:09,809]: fea5402 : 0.0002
[2020-04-04 13:27:09,809]: fea3445 : 0.0002
[2020-04-04 13:27:09,809]: fea6589 : 0.0002
[2020-04-04 13:27:09,810]: fea97 : 0.0002
[2020-04-04 13:27:09,810]: fea7842 : 0.0002
[2020-04-04 13:27:09,810]: fea6880 : 0.0002
[2020-04-04 13:27:09,810]: fea577 : 0.0002
[2020-04-04 13:27:09,810]: fea6909 : 0.0002
[2020-04-04 13:27:09,810]: fea7686 : 0.0002
[2020-04-04 13:27:09,810]: fea5253 : 0.0002
[2020-04-04 13:27:09,810]: fea4256 : 0.0002
[2020-04-04 13:27:09,810]: fea111 : 0.0002
[2020-04-04 13:27:09,810]: fea2415 : 0.0002
[2020-04-04 13:27:09,810]: fea6918 : 0.0002
[2020-04-04 13:27:09,810]: fea4211 : 0.0002
[2020-04-04 13:27:09,810]: fea3160 : 0.0002
[2020-04-04 13:27:09,810]: fea1208 : 0.0002
[2020-04-04 13:27:09,810]: fea6343 : 0.0002
[2020-04-04 13:27:09,810]: fea3705 : 0.0002
[2020-04-04 13:27:09,810]: fea4111 : 0.0002
[2020-04-04 13:27:09,810]: fea1042 : 0.0002
[2020-04-04 13:27:09,810]: fea3447 : 0.0002
[2020-04-04 13:27:09,811]: fea1414 : 0.0002
[2020-04-04 13:27:09,811]: fea1056 : 0.0002
[2020-04-04 13:27:09,811]: fea266 : 0.0002
[2020-04-04 13:27:09,811]: fea7811 : 0.0002
[2020-04-04 13:27:09,811]: fea3848 : 0.0002
[2020-04-04 13:27:09,811]: fea3487 : 0.0002
[2020-04-04 13:27:09,811]: fea6897 : 0.0002
[2020-04-04 13:27:09,811]: fea2091 : 0.0002
[2020-04-04 13:27:09,811]: fea955 : 0.0002
[2020-04-04 13:27:09,811]: fea7428 : 0.0002
[2020-04-04 13:27:09,811]: fea1267 : 0.0002
